"","PROBEID","ENTREZID"
"1","202284_s_at","1026"
"2","202838_at","2517"
"3","204326_x_at","4501"
"4","206463_s_at","10202"
"5","206662_at","2745"
"6","208581_x_at","4501"
"7","208791_at","1191"
"8","208792_s_at","1191"
"9","209118_s_at","7846"
"10","209276_s_at","2745"
"11","210387_at","83988"
"12","210387_at","8339"
"13","210387_at","8970"
"14","214079_at","10202"
"15","215779_s_at","8339"
"16","215779_s_at","8970"
"17","222043_at","1191"
"18","201305_x_at","10541"
"19","201306_s_at","10541"
"20","202589_at","7298"
"21","202613_at","1503"
"22","208974_x_at","3837"
"23","208975_s_at","3837"
"24","213507_s_at","3837"
"25","213573_at","3837"
"26","213803_at","3837"
"27","217027_x_at",NA
"28","217684_at","7298"
